Id,age,job,marital,education,device,day,month,time_spent,banner_views,banner_views_old,days_elapsed_old,outcome_old,X1,X2,X3,X4,subscription
0,28,freelance,married,grad_school,smartphone,4,2,26.8,3,4,196,failure,0,0,1,0.0728033700724492,1
1,48,industrial_worker,married,university,smartphone,30,4,13.05,1,1,79,success,0,0,0,0.0754543968913986,1
2,27,teacher,married,university,smartphone,14,7,8.1,3,0,-1,na,0,1,1,0.0681095999854738,0
3,44,unemployed,divorced,university,smartphone,13,5,7.1,2,1,369,other,0,0,1,0.0919416047791113,0
4,29,manager,single,grad_school,smartphone,26,4,15.9,2,2,143,success,0,0,0,0.0859223212826612,1
5,48,industrial_worker,married,high_school,na,19,6,6.3,2,0,-1,na,0,0,0,0.0786955495433334,0
6,31,teacher,single,university,na,7,5,24.1,2,0,-1,na,0,0,1,0.0755179489041817,0
7,55,industrial_worker,married,high_school,na,17,6,7.0,2,0,-1,na,0,0,0,0.0729032375211083,0
8,44,teacher,married,university,smartphone,3,11,13.95,1,0,-1,na,0,0,0,0.0746645361610952,1
9,26,salesman,single,university,smartphone,7,5,28.6,2,4,283,failure,0,0,1,0.1230366967479527,0
10,31,technology,single,grad_school,smartphone,12,8,66.7,7,0,-1,na,0,0,0,0.0746917727380022,1
11,55,manager,divorced,grad_school,smartphone,2,2,7.45,1,0,-1,na,0,0,0,0.0768525411726254,0
12,59,retired,married,university,smartphone,5,2,0.35,10,0,-1,na,1,0,0,0.0750004539429484,0
13,37,technology,single,grad_school,smartphone,19,8,9.45,5,0,-1,na,0,0,0,0.0878833548199662,0
14,29,technology,single,grad_school,smartphone,17,5,11.9,3,1,243,failure,0,0,0,0.0806565830806384,0
15,49,manager,married,university,smartphone,29,7,11.95,6,0,-1,na,1,0,0,0.0785502877998293,0
16,73,retired,married,high_school,smartphone,23,4,43.9,1,3,182,success,0,0,0,0.080030141811777,1
17,49,technology,single,university,smartphone,18,8,26.1,1,5,461,failure,0,0,1,0.1557024313184319,1
18,36,technology,married,university,smartphone,14,4,22.55,1,0,-1,na,0,0,0,0.2133895012074882,1
19,58,industrial_worker,married,high_school,desktop,16,7,27.4,6,0,-1,na,0,0,0,0.0728033700724492,0
20,29,unemployed,single,grad_school,smartphone,18,5,31.6,3,6,298,success,0,0,1,0.0773155629800446,1
21,29,student,single,university,smartphone,30,4,11.45,1,0,-1,na,0,0,0,0.0735115210720316,1
22,43,industrial_worker,divorced,high_school,na,3,6,11.3,7,0,-1,na,0,0,1,0.0730303415466744,0
23,51,industrial_worker,divorced,university,smartphone,15,5,3.05,3,0,-1,na,0,0,0,0.0738292811359468,0
24,37,salesman,married,university,smartphone,5,5,8.25,1,0,-1,na,0,0,1,0.1130227153051404,0
25,42,housekeeper,married,high_school,na,19,5,4.85,2,0,-1,na,0,0,0,0.2067346975832077,0
26,47,freelance,married,grad_school,smartphone,6,10,39.9,1,0,-1,na,0,0,0,0.0819820964901131,1
27,30,salesman,single,university,smartphone,18,7,25.3,1,0,-1,na,0,1,1,0.0694805076897935,1
28,34,salesman,single,university,na,20,5,6.35,1,0,-1,na,0,0,1,0.1466326512083961,0
29,50,industrial_worker,married,high_school,smartphone,13,5,42.65,3,0,-1,na,0,0,1,0.0680642056906288,1
30,26,industrial_worker,single,university,smartphone,7,5,9.7,1,0,-1,na,0,0,1,0.1406678408657599,0
31,36,industrial_worker,single,high_school,na,26,6,13.35,1,0,-1,na,0,0,0,0.076135311314074,0
32,39,manager,single,na,na,7,5,1.6,2,0,-1,na,0,0,1,0.099014035915966,0
33,28,entrepreneur,married,university,smartphone,17,4,35.9,1,3,316,other,0,0,1,0.0772520109672616,0
34,32,manager,single,grad_school,smartphone,22,4,26.75,1,0,-1,na,0,0,0,0.0915875292793201,1
35,35,teacher,single,university,smartphone,7,7,23.5,1,0,-1,na,1,0,0,0.0728033700724492,0
36,43,manager,married,grad_school,na,15,5,20.6,3,0,-1,na,0,0,1,0.1455795035679915,0
37,34,technology,single,university,smartphone,29,10,12.0,1,5,342,failure,0,0,1,0.0811559203239336,0
38,59,technology,married,university,smartphone,30,4,40.25,1,1,87,other,0,0,0,0.0937573765729123,1
39,42,industrial_worker,married,university,na,30,5,5.7,3,0,-1,na,0,0,1,0.0905797759337606,0
40,29,manager,single,grad_school,smartphone,4,6,10.7,1,0,-1,na,0,0,0,0.07799647740272,1
41,63,retired,married,university,smartphone,25,10,18.95,1,4,195,other,0,0,0,0.0863762642311114,1
42,61,teacher,married,university,smartphone,21,8,7.4,1,0,-1,na,0,0,1,0.0822998565540282,1
43,54,freelance,divorced,high_school,na,6,6,31.6,2,0,-1,na,0,0,1,0.0759900495705699,1
44,63,retired,married,university,smartphone,25,1,9.75,1,0,-1,na,0,0,0,0.0974615510322662,0
45,26,industrial_worker,single,university,smartphone,18,5,29.45,2,0,-1,na,0,0,1,0.0719590361883318,0
46,30,entrepreneur,married,university,smartphone,22,7,3.9,1,0,-1,na,1,0,1,0.0696620848691736,0
47,41,industrial_worker,divorced,high_school,na,15,5,5.1,1,0,-1,na,0,0,1,0.0869936266410037,0
48,56,na,married,na,na,20,6,1.1,4,0,-1,na,0,0,0,0.079866722350335,0
49,32,industrial_worker,single,university,smartphone,18,5,11.1,2,0,-1,na,0,0,1,0.0740290160332649,0
50,42,technology,married,university,smartphone,28,8,5.35,8,0,-1,na,1,0,0,0.0820002542080511,0
51,24,technology,single,university,na,16,5,45.1,1,0,-1,na,0,0,1,0.0765166233907722,1
52,59,housekeeper,married,high_school,na,9,6,8.1,4,0,-1,na,0,0,0,0.1227461732609445,0
53,58,industrial_worker,married,high_school,smartphone,22,8,4.4,7,0,-1,na,0,0,1,0.112332722023496,0
54,27,industrial_worker,single,university,na,28,5,34.2,2,0,-1,na,1,0,1,0.0754725546093367,1
55,41,technology,single,grad_school,smartphone,22,10,6.15,1,2,107,success,0,0,0,0.0767163582880903,1
56,46,industrial_worker,married,university,smartphone,2,6,15.0,1,6,55,other,0,0,1,0.0870390209358487,1
57,30,manager,single,grad_school,smartphone,24,4,11.25,2,0,-1,na,0,0,0,0.0764167559421132,1
58,33,entrepreneur,married,university,smartphone,8,7,1.6,1,0,-1,na,1,1,0,0.072313111688123,0
59,58,retired,married,high_school,smartphone,18,6,12.45,2,0,-1,na,0,0,0,0.0916329235741651,1
60,44,industrial_worker,married,university,smartphone,2,7,13.25,1,0,-1,na,0,0,1,0.0736023096617217,1
61,47,salesman,married,university,na,16,5,15.65,1,0,-1,na,0,0,1,0.0963811668149546,0
62,55,na,married,university,smartphone,12,8,12.75,1,5,91,success,0,0,0,0.0928313329580738,1
63,27,manager,single,grad_school,smartphone,9,7,3.25,1,0,-1,na,1,0,0,0.074201514353676,0
64,58,manager,married,grad_school,na,18,6,5.2,1,0,-1,na,0,0,0,0.1243712890163964,0
65,54,manager,married,grad_school,smartphone,17,11,4.4,1,0,-1,na,0,0,0,0.2008788335481996,0
66,37,salesman,married,university,smartphone,8,5,7.05,4,11,171,other,1,0,1,0.1039347774771666,0
67,53,teacher,single,university,smartphone,3,2,4.9,1,1,92,success,0,0,1,0.0945744738801227,0
68,20,student,single,university,desktop,16,4,6.0,1,0,-1,na,0,0,0,0.0880649319993463,0
69,55,entrepreneur,divorced,university,smartphone,7,8,17.15,2,0,-1,na,0,0,1,0.0776877961977738,1
70,29,salesman,married,university,na,26,5,14.35,1,0,-1,na,1,0,1,0.0758901821219109,0
71,27,teacher,married,university,smartphone,9,10,12.8,3,1,184,success,0,0,0,0.1038076734516006,1
72,35,manager,married,university,smartphone,14,7,13.85,2,1,415,failure,0,0,1,0.0793764639660087,1
73,24,student,single,university,smartphone,18,2,8.75,1,0,-1,na,0,0,0,0.2895883645343453,1
74,47,freelance,married,grad_school,desktop,21,11,0.9,1,0,-1,na,0,0,0,0.0728033700724492,0
75,79,retired,married,high_school,desktop,18,1,15.8,2,2,272,success,0,0,0,0.1504820874112541,1
76,34,manager,married,grad_school,smartphone,21,11,2.95,2,0,-1,na,0,0,0,0.1398416646995805,0
77,51,salesman,married,high_school,na,19,5,6.05,1,0,-1,na,0,0,1,0.1527518021535053,0
78,40,industrial_worker,married,university,na,29,5,6.2,1,0,-1,na,0,0,1,0.0757721569553138,0
79,36,teacher,single,university,smartphone,2,2,10.75,1,0,-1,na,0,0,0,0.0738474388538848,0
80,55,manager,married,grad_school,desktop,18,8,9.75,1,0,-1,na,0,0,0,0.1905743286183792,1
81,49,technology,married,university,smartphone,13,8,3.35,8,0,-1,na,0,0,0,0.1865705518130481,0
82,41,manager,married,university,smartphone,8,5,8.35,2,6,364,other,0,0,1,0.0731756032901784,0
83,44,manager,married,grad_school,smartphone,10,7,4.95,5,0,-1,na,1,0,1,0.0753817660196466,0
84,48,teacher,married,university,na,5,6,23.95,3,0,-1,na,0,0,0,0.0771249069416955,0
