iter	Logloss	Accuracy
0	0.5154465273	0.7783735478
1	0.4342205083	0.8128909741
2	0.4016476682	0.8303172475
3	0.3843407988	0.8363494191
4	0.363747207	0.8466264522
5	0.3546533667	0.8450625559
6	0.3489423766	0.8486371761
7	0.3434461319	0.8545576408
8	0.3386840139	0.8545576408
9	0.3341221732	0.8575737265
10	0.3296406944	0.8584673816
11	0.3271542921	0.8586907954
12	0.3234460426	0.861818588
13	0.3191725038	0.8644995532
14	0.3160375046	0.8646112601
15	0.3134454627	0.8657283289
16	0.3107171226	0.8670688114
17	0.30848541	0.867515639
18	0.3056123438	0.868409294
19	0.3019433584	0.8706434316
20	0.297012794	0.8727658624
21	0.2935096951	0.8748882931
22	0.2912480153	0.8766756032
23	0.2890318637	0.876899017
24	0.2855838265	0.8800268097
25	0.282947173	0.8810321716
26	0.280035985	0.8827077748
27	0.2745897531	0.8846067918
28	0.2742229809	0.8851653262
29	0.2709582066	0.8876228776
30	0.2687488345	0.8886282395
31	0.2669749616	0.8906389634
32	0.2651216834	0.8914209115
33	0.2626296248	0.8927613941
34	0.2609950624	0.893766756
35	0.2586610386	0.8949955317
36	0.2565952568	0.8962243074
37	0.2543502033	0.8971179625
38	0.2520463502	0.9000223414
39	0.2499956077	0.9014745308
40	0.2487274505	0.9016979446
41	0.2471737463	0.9030384272
42	0.2452617808	0.9038203753
43	0.2451997062	0.9039320822
44	0.2422116766	0.9038203753
45	0.2401114292	0.9035969616
46	0.2380877098	0.9047140304
47	0.2362660575	0.9048257373
48	0.2345466765	0.9057193923
49	0.2329590295	0.9061662198
