iter	Passed	Remaining
0	2	126
1	5	136
2	8	127
3	10	124
4	13	117
5	15	113
6	17	109
7	20	108
8	26	119
9	29	119
10	32	115
11	35	111
12	38	108
13	41	106
14	48	112
15	51	109
16	54	106
17	68	121
18	73	119
19	77	116
20	79	110
21	82	104
22	85	100
23	87	95
24	90	90
25	93	86
26	96	81
27	98	77
28	101	73
29	104	69
30	106	65
31	108	61
32	111	57
33	113	53
34	116	50
35	119	46
36	121	42
37	123	39
38	126	35
39	129	32
40	131	28
41	133	25
42	135	22
43	138	18
44	140	15
45	143	12
46	145	9
47	148	6
48	150	3
49	153	0
