iter	Passed	Remaining
0	13	1358
1	22	1087
2	28	930
3	35	842
4	41	793
5	48	759
6	55	732
7	62	713
8	69	700
9	75	679
10	82	663
11	88	648
12	94	635
13	101	624
14	108	613
15	114	602
16	120	590
17	127	580
18	133	571
19	140	561
20	147	554
21	153	544
22	160	536
23	166	527
24	173	519
25	179	510
26	185	502
27	192	495
28	199	487
29	205	479
30	211	471
31	218	464
32	225	457
33	232	450
34	239	445
35	247	439
36	254	432
37	260	425
38	267	418
39	274	411
40	280	404
41	288	397
42	294	389
43	300	382
44	306	375
45	312	367
46	319	359
47	325	352
48	332	345
49	338	338
50	344	331
51	351	324
52	357	317
53	364	310
54	370	303
55	377	296
56	383	289
57	390	282
58	396	275
59	403	268
60	409	261
61	415	254
62	422	248
63	428	241
64	435	234
65	442	227
66	450	221
67	457	215
68	464	208
69	470	201
70	477	195
71	483	188
72	490	181
73	497	174
74	503	167
75	510	161
76	516	154
77	523	147
78	529	140
79	536	134
80	543	127
81	549	120
82	556	113
83	562	107
84	569	100
85	576	93
86	582	87
87	589	80
88	595	73
89	601	66
90	608	60
91	615	53
92	621	46
93	628	40
94	635	33
95	642	26
96	651	20
97	658	13
98	665	6
99	671	0
